Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
246,5.6,2.4,5.7,1.0,Iris-virginica
247,5.2,2.0,4.1,1.5,Iris-versicolor
248,4.4,3.2,1.5,0.4,Iris-setosa
249,4.5,2.8,1.5,0.7,Iris-setosa
250,6.3,3.6,4.4,0.9,Iris-virginica
251,5.6,2.8,2.1,0.6,Iris-virginica
252,5.3,3.3,3.0,2.3,Iris-virginica
253,6.6,3.3,3.6,2.0,Iris-virginica
254,5.1,3.3,2.2,1.9,Iris-virginica
255,6.7,2.8,2.6,2.0,Iris-versicolor
256,7.5,2.6,6.6,1.8,Iris-versicolor
257,6.1,2.0,6.0,2.2,Iris-versicolor
258,5.4,2.5,5.9,0.4,Iris-virginica
259,6.0,3.2,4.6,1.7,Iris-virginica
260,5.6,2.8,3.5,0.8,Iris-virginica
261,6.4,2.8,6.4,0.6,Iris-versicolor
262,6.9,3.6,2.5,1.2,Iris-versicolor
263,4.7,3.7,1.3,0.4,Iris-setosa
264,6.7,2.9,5.5,2.3,Iris-virginica
265,6.8,2.4,6.8,2.5,Iris-virginica
266,5.1,2.1,2.9,1.9,Iris-versicolor
267,5.3,2.9,2.9,0.4,Iris-setosa
268,5.6,2.5,5.3,1.8,Iris-versicolor
269,4.3,2.5,1.2,0.7,Iris-versicolor
270,5.2,3.8,2.0,0.1,Iris-setosa
271,4.4,3.1,1.6,0.1,Iris-setosa
272,6.5,3.6,4.4,2.2,Iris-versicolor
273,4.4,3.1,2.2,1.4,Iris-setosa
274,7.0,3.7,5.1,1.5,Iris-virginica
275,6.5,2.9,5.3,1.5,Iris-virginica
276,5.1,3.8,2.1,1.1,Iris-setosa
277,6.6,3.4,4.5,1.9,Iris-virginica
278,5.3,3.2,3.1,1.4,Iris-setosa
279,5.8,2.8,4.1,0.4,Iris-setosa
280,6.7,2.9,6.0,0.6,Iris-versicolor
281,5.5,3.2,5.2,0.8,Iris-setosa
282,5.8,4.0,2.2,1.6,Iris-setosa
283,5.7,2.6,6.0,1.5,Iris-versicolor
284,5.0,3.4,1.5,0.4,Iris-setosa
285,6.3,3.2,3.8,2.3,Iris-versicolor
286,5.6,3.9,2.7,2.3,Iris-virginica
287,6.5,3.4,5.6,1.9,Iris-virginica
288,4.8,3.2,1.8,0.3,Iris-setosa
289,5.0,3.1,1.6,0.5,Iris-versicolor
290,6.1,2.9,3.0,1.0,Iris-setosa
291,7.1,2.5,6.2,2.1,Iris-virginica
292,6.0,3.3,4.4,0.8,Iris-virginica
293,4.5,2.8,2.2,0.4,Iris-versicolor
294,5.7,2.2,4.4,2.1,Iris-virginica
295,6.6,3.7,4.4,1.6,Iris-virginica
296,4.5,3.9,1.2,0.1,Iris-setosa
297,5.8,3.1,5.8,1.4,Iris-virginica
298,4.5,2.8,1.6,0.2,Iris-setosa
299,6.3,2.2,6.3,1.9,Iris-versicolor
300,6.1,3.5,3.3,0.7,Iris-setosa
301,5.1,3.6,1.8,0.2,Iris-setosa
302,5.8,3.3,4.3,1.8,Iris-virginica
303,5.6,3.5,4.1,0.4,Iris-versicolor
304,5.6,2.8,5.6,2.3,Iris-versicolor
305,6.1,3.1,5.4,0.8,Iris-virginica
306,6.0,3.2,3.2,1.5,Iris-versicolor
307,5.3,2.8,3.6,1.0,Iris-virginica
308,5.2,3.3,1.7,0.1,Iris-setosa
309,7.1,4.1,4.8,1.8,Iris-virginica
310,5.9,3.0,4.3,0.9,Iris-versicolor
311,6.5,3.2,3.6,1.2,Iris-virginica
312,5.2,3.2,1.9,1.6,Iris-setosa
313,5.5,3.3,1.6,0.1,Iris-setosa
314,5.1,3.3,1.4,0.2,Iris-setosa
315,5.8,3.4,2.3,0.5,Iris-setosa
316,4.8,3.4,2.6,0.1,Iris-setosa
317,5.5,3.7,1.7,1.8,Iris-setosa
318,5.1,3.7,1.9,1.0,Iris-setosa
319,6.1,4.1,2.9,1.2,Iris-setosa
320,6.5,3.2,4.8,1.4,Iris-versicolor
321,4.7,3.1,1.9,0.4,Iris-setosa
322,5.1,3.1,1.6,0.2,Iris-setosa
323,5.6,3.2,4.0,2.2,Iris-virginica
324,4.4,2.5,1.6,0.6,Iris-versicolor
325,7.0,2.8,6.1,1.1,Iris-virginica
326,5.9,2.2,5.3,2.3,Iris-versicolor
327,6.2,2.8,3.4,0.5,Iris-versicolor
328,5.5,2.6,2.6,0.8,Iris-versicolor
329,5.7,3.2,2.8,1.5,Iris-versicolor
330,7.2,3.0,6.4,2.4,Iris-virginica
331,5.0,3.4,2.4,0.8,Iris-setosa
332,5.9,2.4,4.8,1.8,Iris-versicolor
333,6.5,2.7,5.7,2.4,Iris-virginica
334,6.5,3.3,5.2,1.2,Iris-setosa
335,5.4,2.9,4.9,0.3,Iris-virginica
336,4.8,3.2,1.5,0.5,Iris-setosa
337,5.1,3.7,1.7,0.6,Iris-setosa
338,7.3,3.4,6.2,1.1,Iris-virginica
339,6.1,2.9,5.6,2.3,Iris-virginica
340,7.0,2.7,5.5,2.1,Iris-versicolor
341,7.3,3.0,4.7,1.1,Iris-virginica
342,5.1,2.5,3.5,0.1,Iris-versicolor
343,7.6,3.1,6.4,2.5,Iris-versicolor
344,5.6,2.6,4.7,1.7,Iris-versicolor
345,6.2,3.0,4.0,2.2,Iris-virginica
346,5.7,3.1,2.9,1.3,Iris-setosa
347,5.0,3.1,4.1,0.6,Iris-setosa
348,5.0,2.9,2.9,2.2,Iris-virginica
349,5.7,3.0,5.3,2.2,Iris-virginica
350,5.8,2.7,2.3,1.4,Iris-setosa
351,6.0,3.2,3.7,2.3,Iris-virginica
352,6.5,3.3,3.3,1.9,Iris-virginica
353,6.7,4.1,3.0,1.9,Iris-virginica
354,4.8,3.3,1.5,0.1,Iris-setosa
355,4.7,3.0,2.5,1.2,Iris-setosa
356,5.2,2.6,3.1,0.2,Iris-versicolor
357,6.4,3.6,4.4,1.5,Iris-virginica
358,6.1,2.9,5.0,1.8,Iris-versicolor
359,4.9,2.6,2.2,0.4,Iris-setosa
360,4.9,3.3,1.4,0.3,Iris-setosa
361,7.4,3.7,5.4,0.5,Iris-virginica
362,5.4,2.8,1.8,2.4,Iris-versicolor
363,4.8,2.9,2.3,0.9,Iris-setosa
364,5.5,3.7,2.0,1.6,Iris-setosa
365,5.0,3.3,1.5,0.3,Iris-versicolor
366,6.2,3.8,3.6,2.1,Iris-setosa
367,5.2,3.0,1.9,1.3,Iris-setosa
368,5.1,3.0,2.8,1.3,Iris-setosa
369,5.3,3.3,3.7,0.6,Iris-virginica
370,4.9,3.5,1.7,0.7,Iris-versicolor
371,5.5,3.7,4.0,0.3,Iris-setosa
372,5.1,3.1,1.8,0.6,Iris-setosa
373,4.9,3.2,1.1,0.1,Iris-setosa
374,7.2,3.0,6.9,2.5,Iris-virginica
375,5.2,3.3,1.9,0.4,Iris-versicolor
376,6.6,2.8,3.3,2.2,Iris-versicolor
377,6.8,3.0,6.3,2.4,Iris-virginica
378,5.7,2.5,4.4,2.3,Iris-versicolor
379,6.9,3.1,5.3,0.7,Iris-versicolor
380,6.0,2.8,6.3,2.4,Iris-versicolor
381,6.2,2.6,5.8,1.5,Iris-virginica
382,7.5,3.3,6.5,2.4,Iris-virginica
383,6.7,2.7,6.7,2.5,Iris-virginica
384,5.7,2.3,5.8,2.2,Iris-virginica
385,7.2,3.2,6.0,0.6,Iris-virginica
386,6.0,3.4,3.2,0.8,Iris-setosa
387,7.7,2.4,6.6,2.4,Iris-virginica
388,7.5,2.8,6.8,1.2,Iris-versicolor
389,5.9,2.9,4.0,1.6,Iris-virginica
390,6.2,2.9,5.5,2.1,Iris-virginica
391,6.4,3.2,4.3,2.3,Iris-virginica
392,4.3,2.7,1.3,0.1,Iris-versicolor
393,6.0,2.6,4.5,0.7,Iris-versicolor
394,4.9,3.3,2.4,1.0,Iris-setosa
395,7.0,2.8,5.6,1.9,Iris-virginica
396,6.3,3.6,3.3,1.9,Iris-setosa
397,5.5,2.8,5.1,1.2,Iris-virginica
398,6.0,2.8,2.9,0.7,Iris-versicolor
399,6.9,3.6,5.8,2.1,Iris-versicolor
400,6.1,2.5,6.0,1.8,Iris-virginica
401,6.1,4.4,3.4,0.3,Iris-virginica
402,7.0,2.9,4.5,2.4,Iris-virginica
403,5.8,2.9,3.2,2.0,Iris-versicolor
404,5.1,2.0,5.0,1.6,Iris-versicolor
405,5.9,3.1,3.3,1.1,Iris-setosa
406,4.6,3.3,1.3,0.1,Iris-setosa
407,5.5,3.2,2.2,1.0,Iris-setosa
408,4.8,3.2,2.1,1.1,Iris-versicolor
409,6.8,3.3,4.7,0.4,Iris-virginica
410,6.1,3.6,4.5,1.5,Iris-virginica
411,6.9,3.3,4.4,2.1,Iris-virginica
412,5.9,3.3,2.9,0.9,Iris-setosa
413,4.7,4.2,1.1,1.5,Iris-setosa
414,5.0,3.3,2.0,0.8,Iris-versicolor
415,6.3,3.0,3.0,2.3,Iris-versicolor
416,5.5,2.8,4.0,0.8,Iris-virginica
417,4.8,4.0,1.5,0.2,Iris-setosa
418,4.9,3.2,1.1,0.5,Iris-setosa
419,5.3,3.6,1.3,1.8,Iris-setosa
420,6.7,2.9,4.8,1.2,Iris-virginica
421,6.5,3.4,6.1,2.2,Iris-virginica
422,7.6,2.9,6.0,2.5,Iris-virginica
423,5.0,2.9,4.2,0.6,Iris-setosa
424,4.8,3.4,1.7,1.4,Iris-setosa
425,4.5,2.5,2.5,1.0,Iris-versicolor
426,6.8,3.5,3.5,0.7,Iris-versicolor
427,4.4,3.4,1.1,0.4,Iris-setosa
428,6.3,2.1,6.0,1.4,Iris-versicolor
429,6.2,2.6,6.0,1.8,Iris-versicolor
430,6.4,3.2,5.6,1.8,Iris-virginica
431,5.2,3.7,1.8,0.1,Iris-setosa
432,6.8,2.5,5.1,2.2,Iris-virginica
433,6.0,2.5,6.5,2.5,Iris-virginica
434,5.4,3.1,1.3,0.2,Iris-setosa
435,5.1,2.7,3.1,1.3,Iris-virginica
436,7.6,2.9,6.4,2.0,Iris-virginica
437,6.5,2.8,4.2,0.5,Iris-versicolor
438,4.4,3.4,1.0,0.1,Iris-setosa
439,6.7,3.4,6.1,2.4,Iris-virginica
440,5.6,2.8,4.8,2.4,Iris-virginica
441,5.0,3.7,1.7,0.5,Iris-setosa
442,5.9,3.6,2.0,0.3,Iris-setosa
443,5.2,3.3,1.4,1.0,Iris-versicolor
444,4.8,2.8,2.1,0.4,Iris-versicolor
445,6.1,3.2,5.3,1.3,Iris-virginica
446,5.3,2.9,2.1,0.2,Iris-setosa
447,5.2,3.3,1.8,0.4,Iris-setosa
448,5.0,2.5,3.8,1.6,Iris-versicolor
449,5.1,2.6,4.1,1.2,Iris-versicolor
450,5.6,3.2,1.8,0.2,Iris-setosa
451,5.3,3.6,1.8,0.6,Iris-versicolor
452,6.2,2.7,5.1,1.0,Iris-virginica
453,5.3,2.8,3.5,0.9,Iris-setosa
454,6.7,2.3,6.0,2.1,Iris-virginica
455,5.5,3.4,3.1,2.1,Iris-setosa
456,4.6,3.0,3.0,1.4,Iris-setosa
457,6.5,3.6,2.4,0.8,Iris-versicolor
458,5.9,2.8,4.7,1.4,Iris-virginica
459,5.4,2.8,1.5,0.2,Iris-setosa
460,6.8,2.5,6.4,1.9,Iris-virginica
461,4.9,3.2,1.2,0.2,Iris-setosa
462,6.4,2.8,5.4,1.1,Iris-versicolor
463,6.2,2.8,4.9,0.4,Iris-versicolor
464,6.1,3.0,2.8,0.5,Iris-versicolor
465,6.1,3.5,5.0,0.7,Iris-versicolor
466,5.6,2.5,4.7,1.8,Iris-versicolor
467,6.5,2.9,4.0,1.8,Iris-versicolor
468,6.5,2.7,5.1,0.6,Iris-versicolor
469,4.8,4.1,1.3,0.5,Iris-setosa
470,5.8,3.2,1.9,0.4,Iris-setosa
471,6.1,3.1,4.7,0.4,Iris-virginica
472,4.8,3.4,1.2,0.2,Iris-versicolor
473,6.3,3.3,5.0,2.4,Iris-versicolor
474,6.1,3.8,2.5,1.1,Iris-setosa
475,5.5,2.8,3.1,1.0,Iris-versicolor
476,6.4,2.9,5.9,2.2,Iris-versicolor
477,5.3,2.3,3.9,2.4,Iris-versicolor
478,6.7,2.7,3.9,1.2,Iris-virginica
479,5.5,3.3,2.4,1.6,Iris-virginica
480,4.6,3.0,1.9,0.1,Iris-setosa
481,6.5,2.6,5.2,0.9,Iris-versicolor
482,4.3,2.7,1.3,0.2,Iris-versicolor
483,6.3,3.1,5.4,2.3,Iris-virginica
484,6.5,4.2,3.5,1.4,Iris-virginica
485,6.0,3.6,1.9,1.9,Iris-setosa
486,7.4,3.0,4.7,0.7,Iris-virginica
487,5.7,3.3,2.4,1.1,Iris-setosa
488,4.9,2.6,2.5,0.3,Iris-virginica
489,5.9,2.6,5.1,1.0,Iris-virginica
490,7.1,3.2,6.3,2.1,Iris-virginica
491,6.8,4.0,2.5,0.8,Iris-setosa
492,6.5,3.5,2.7,2.2,Iris-setosa
493,6.9,3.1,6.3,2.4,Iris-virginica
494,4.8,2.3,2.1,0.4,Iris-versicolor
495,6.7,3.0,4.4,2.0,Iris-virginica
496,4.5,3.2,1.5,0.4,Iris-setosa
497,7.8,3.0,6.8,2.5,Iris-virginica
498,5.4,3.0,4.2,1.2,Iris-setosa
499,6.3,3.3,3.6,1.8,Iris-virginica
